"uid","username","password","email","phone","status","avatar","role","create_time","update_time"
"1","yyy","123","zhangsan@example.com","13800138001","1","https://randomuser.me/api/portraits/men/1.jpg","user","26/12/2025 16:43:11","14/1/2026 08:55:31"
"2","123456","123456","777@example.com","11111111111","1","https://randomuser.me/api/portraits/women/2.jpg","user","26/12/2025 16:43:11","13/1/2026 00:49:11"
"3","王五","123","wangwu@example.com","13800138003","1","https://randomuser.me/api/portraits/men/3.jpg","user","26/12/2025 16:43:11","11/1/2026 16:43:50"
"4","赵六","111","zhaoliu@example.com","13800138004","1","https://randomuser.me/api/portraits/women/4.jpg","user","26/12/2025 16:43:11","11/1/2026 16:47:35"
"5","钱七","$2a$10$MNO345","qianqi@example.com","13800138005","1","https://randomuser.me/api/portraits/men/5.jpg","user","26/12/2025 16:43:11","26/12/2025 16:43:11"
"6","孙八","$2a$10$PQR678","sunba@example.com","13800138006","1","https://randomuser.me/api/portraits/women/6.jpg","user","26/12/2025 16:43:11","26/12/2025 16:43:11"
"7","周九","$2a$10$STU901","zhoujiu@example.com","13800138007","1","https://randomuser.me/api/portraits/men/7.jpg","user","26/12/2025 16:43:11","26/12/2025 16:43:11"
"8","吴十","$2a$10$VWX234","wushi@example.com","13800138008","1","https://randomuser.me/api/portraits/women/8.jpg","user","26/12/2025 16:43:11","26/12/2025 16:43:11"
"9","123","123","admin@example.com","13800138009","1","https://randomuser.me/api/portraits/men/9.jpg","admin","1/12/2025 16:43:11","5/1/2026 23:17:03"
"10","student1","$2a$10$BCD890","student1@example.com","13800138010","1","https://randomuser.me/api/portraits/men/10.jpg","user","26/12/2025 16:43:11","26/12/2025 16:43:11"
"11","刘德华","$2a$10$ABC456","liudehua@example.com","13800138011","1","https://randomuser.me/api/portraits/men/11.jpg","user","28/12/2025 22:24:16","28/12/2025 22:24:16"
"12","张学友","$2a$10$DEF789","zhangxueyou@example.com","13800138012","1","https://randomuser.me/api/portraits/men/12.jpg","user","28/12/2025 22:24:16","28/12/2025 22:24:16"
"13","郭富城","$2a$10$GHI012","guofucheng@example.com","13800138013","1","https://randomuser.me/api/portraits/men/13.jpg","user","28/12/2025 22:24:16","28/12/2025 22:24:16"
"14","黎明","$2a$10$JKL345","liming@example.com","13800138014","1","https://randomuser.me/api/portraits/men/14.jpg","user","28/12/2025 22:24:16","28/12/2025 22:24:16"
"15","周杰伦","$2a$10$MNO678","jay@example.com","13800138015","1","https://randomuser.me/api/portraits/men/15.jpg","user","28/12/2025 22:24:16","28/12/2025 22:24:16"
"16","新年用户001","$2a$10$New2026","newyear001@example.com","13801010001","1","https://randomuser.me/api/portraits/men/50.jpg","user","1/1/2026 09:15:23","1/1/2026 09:15:23"
"17","元旦快乐","$2a$10$YuanDan","yuandan2026@qq.com","13801010002","1","https://randomuser.me/api/portraits/women/51.jpg","user","1/1/2026 10:30:45","1/1/2026 10:30:45"
